uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-2,11-2-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 01:43:07+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-2,11-2-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-18 01:44:33+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-3,11-3-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 01:45:14+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,11,11-3,11-3-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-18 01:46:04+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-1,12-1-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 01:49:37+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Xingqiu,Yelan,Nahida,2024-02-18 01:51:12+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-2,12-2-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 02:04:02+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Xingqiu,Yelan,Nahida,2024-02-18 02:05:22+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-3,12-3-1,Xiao,Furina,Faruzan,Xianyun,2024-02-18 02:11:35+00:00
1ea0a58cd62d11eeb86d28c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Xingqiu,Yelan,Nahida,2024-02-18 02:13:02+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-1,11-1-1,Yoimiya,Kaedehara Kazuha,Yelan,Thoma,2024-02-18 12:37:02+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-18 12:38:06+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-2,11-2-1,Yoimiya,Kaedehara Kazuha,Yelan,Thoma,2024-02-18 12:38:54+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-18 12:40:36+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-3,11-3-1,Yoimiya,Kaedehara Kazuha,Yelan,Thoma,2024-02-18 12:41:28+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-18 12:42:31+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-18 13:00:33+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-1,12-1-2,Yoimiya,Yun Jin,Yelan,Thoma,2024-02-18 13:02:04+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-2,12-2-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett,2024-02-24 12:50:35+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-24 12:51:44+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-3,12-3-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett,2024-02-24 12:54:00+00:00
1ea0a58dd62d11eeb62128c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-24 12:55:27+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-1,11-1-1,Nahida,Furina,Raiden Shogun,Baizhu,2024-02-17 16:47:11+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-1,11-1-2,Kaedehara Kazuha,Albedo,Xianyun,Bennett,2024-02-17 16:47:55+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-2,11-2-1,Nahida,Furina,Raiden Shogun,Baizhu,2024-02-17 16:48:25+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Albedo,Xianyun,Bennett,2024-02-17 16:49:19+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-3,11-3-1,Nahida,Furina,Raiden Shogun,Baizhu,2024-02-17 16:50:14+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,11,11-3,11-3-2,Kaedehara Kazuha,Albedo,Xianyun,Bennett,2024-02-17 16:50:44+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-1,12-1-1,Diluc,Furina,Xianyun,Bennett,2024-02-18 01:22:13+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Kujou Sara,Chevreuse,Thoma,2024-02-18 01:23:36+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-2,12-2-1,Diluc,Furina,Xianyun,Bennett,2024-02-18 01:24:51+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Kujou Sara,Chevreuse,Thoma,2024-02-18 01:26:17+00:00
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-3,12-3-1,Diluc,Furina,Xianyun,Bennett,2024-02-18 01:27:58+00:00
